회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
케이엘넷,039420,전기통신업,EC/EDI,2002-03-12,12월,"강범구, 정지원 (각자 대표이사)",http://www.klnet.co.kr,서울특별시
에스티아이,039440,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템",2002-02-28,12월,"서인수, 김정영 (각자대표이사)",http://www.stinc.co.kr,경기도
잉크테크,049550,기타 화학제품 제조업,"잉크젯 프린터용 잉크카트리지, 재충전 잉크",2002-02-28,12월,정광춘,http://www.inktec.com,경기도
대한뉴팜,054670,의약품 제조업,"동물약품, 인체약품, 유아용품",2002-02-26,12월,배건우,http://www.dhnp.co.kr,경기도
씨티씨바이오,060590,가정용품 도매업,"동물용항병원성제품, 생균효소제",2002-02-21,12월,"조호연, 우성섭, 성기홍",http://www.ctcbio.com,강원도
인탑스,049070,통신 및 방송 장비 제조업,휴대전화기용부품,2002-02-21,12월,"김근하, 정사진(각자대표)",http://WWW.INTOPS.CO.KR,경기도
금성테크,058370,기타 전문 도매업,비철 스크랩 재생 및 유통,2002-02-19,12월,이홍구,http://www.techgs.net,경기도
KT서브마린,060370,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무,2002-02-15,12월,윤차현,http://www.ktsubmarine.co.kr,부산광역시
피씨디렉트,051380,기계장비 및 관련 물품 도매업,"스토리지(HDD), 프로세서(CPU), Memory, Monitor등",2002-02-15,12월,서대식,http://www.pcdirect.co.kr,서울특별시
현진소재,053660,기타 금속가공제품 제조업,선박용 엔진부품,2002-02-15,12월,이창규,http://www.hjmco.co.kr,부산광역시
구영테크,053270,자동차 부품 제조업,엔진 브라켓(Engine Bracket) 등,2002-02-07,12월,이희화,http://www.guyoungtech.com,대구광역시
한국기업평가,034950,기타 사업지원 서비스업,"신용평가, 컨설팅, 위험관리솔루션",2002-02-07,12월,윤인섭,http://www.korearatings.com,서울특별시
뉴보텍,060260,플라스틱제품 제조업,"고강성 PVC DC, HDPE 등",2002-02-05,12월,한거희,http://www.nuvotec.co.kr,강원도
동양에스텍,060380,1차 철강 제조업,"열연박판, 열연후판, 무늬강판",2002-02-05,12월,"조은구, 조남욱 (각자대표)",http://www.dystec.co.kr,대전광역시
백금T&A,046310,통신 및 방송 장비 제조업,레이더디텍터,2002-02-05,12월,임학규,http://www.bgtna.com,경기도
이큐스앤자루,058530,특수 목적용 기계 제조업,"PCB생산 장비 제조(로더, 언로더, 레이업시스템 등)",2002-02-05,12월,이남욱,http://www.equisnzaroo.com,경기도
고려신용정보,049720,기타 사업지원 서비스업,"채권추심, 신용조사",2002-01-31,12월,박종진 단독대표,http://www.koryoinfo.co.kr,서울특별시
제일바이오,052670,의약품 제조업,동물사료첨가제,2002-01-24,12월,심광경,http://www.cheilbio.com,경기도
서울반도체,046890,반도체 제조업,"Display, Chip LED, Lamp",2002-01-17,12월,이정훈,http://www.seoulsemicon.co.kr,경기도
아가방컴퍼니,013990,가정용품 도매업,유아용 의류 및 용품,2002-01-17,12월,신상국,http://www.agabang.com,서울특별시
일야,058450,통신 및 방송 장비 제조업,"컴퓨터, 복사기 등의 부품",2002-01-17,12월,강정훈,http://www.ilya.co.kr,인천광역시
미코,059090,반도체 제조업,반도체 및 디스플레이 부품 제조,2002-01-15,12월,전선규 (단독 대표이사),http://www.mico.kr,경기도
에스아이티글로벌,050320,기계장비 및 관련 물품 도매업,"중대형 서버, 시스템 S/W",2002-01-15,12월,한만기,http://sitglobal.co.kr,서울특별시
유신,054930,"건축기술, 엔지니어링 및 관련기술 서비스업",토목설계 및 감리,2002-01-15,12월,성낙일,http://www.yooshin.co.kr,서울특별시
프럼파스트,035200,플라스틱제품 제조업,주택건설용 플라스틱 배관,2002-01-15,12월,원재희,http://www.plumbfast.co.kr,대전광역시
한국컴퓨터,054040,전자부품 제조업,LCD Module용 부품,2002-01-15,12월,"왕문경, 강창귀(각자 대표이사)",http://www.kci.co.kr,경상북도
대동스틸,048470,1차 철강 제조업,"열연박판, 후판, 무늬강판 외",2002-01-10,12월,임형기,http://WWW.DAEDONGSTEEL.CO.KR,인천광역시
레드로버,060300,"영화, 비디오물, 방송프로그램 제작 및 배급업","콘텐츠제작, 4D 시네마 시스템 및 영상관 구축, 3D융합, 3D HW, 3D SW, VR",2002-01-10,12월,하회진,http://www.redrover.co.kr,경기도
링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration),2002-01-10,12월,이주석,http://www.ringnet.co.kr,서울특별시
엔알케이,054340,통신 및 방송 장비 제조업,이동전화단말기 케이스,2002-01-10,12월,김 철,http://WWW.PNTEL.CO.KR,서울특별시
제이웨이,058420,"영화, 비디오물, 방송프로그램 제작 및 배급업","VOD서비스, 대리운전프로그램",2002-01-10,12월,"이인범,박성원(공동대표이사)",jway.kr,광주광역시
큐로컴,040350,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",2002-01-10,12월,조중기,http://www.curocom.com,서울특별시
팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차 정비용 리프트,2002-01-10,12월,"김현겸, 최영학 각자대표",http://www.heshbon.com,부산광역시
한빛소프트,047080,소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션",2002-01-10,12월,김유라,http://www.hanbitsoft.co.kr,서울특별시
NHN한국사이버결제,060250,기타 정보 서비스업,전자결제서비스업,2002-01-08,12월,송윤호,http://www.kcp.co.kr,서울특별시
금강철강,053260,1차 철강 제조업,"냉연압연강판, 산세코일",2002-01-04,12월,"주광남, 주성호(각자 대표)",http://www.kksteel.co.kr,서울특별시
룽투코리아,060240,일반 교습 학원,"CTI 콜센타, VoiceGood, WIN-CARD",2002-01-04,12월,양 성 휘,http://www.longtukorea.com,서울특별시
아큐픽스,056730,영상 및 음향기기 제조업,"석탄도매,통신공사외",2002-01-04,12월,전해표,http://www.accupix.com,경기도
SKC 솔믹스,057500,전자부품 제조업,반도체용 파인세라믹제품,2001-12-26,12월,오준록,http://www.skcsolmics.com,경기도
동아화성,041930,고무제품 제조업,자동차용 고무부품,2001-12-26,12월,"임경식, 성락제",http://www.dahs.co.kr,경상남도
비츠로시스,054220,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템",2001-12-26,03월,"이상호,김형진(각자 대표이사)",http://www.vitzrosys.com,서울특별시
오리엔탈정공,014940,선박 및 보트 건조업,"조선해양구조물 및 조선해양기계품 제작,",2001-12-26,12월,박세철,http://www.opco.co.kr,부산광역시
크로바하이텍,043590,반도체 제조업,"트랜스포머, 코일",2001-12-20,12월,송한준,http://www.cloverhitech.com,충청북도
리노공업,058470,전자부품 제조업,"리노핀, 반도체 소켓 등",2001-12-18,12월,이채윤,http://www.leeno.co.kr,부산광역시
성우테크론,045300,전자부품 제조업,"리드프레임가공, 반도체 장비",2001-12-18,12월,박찬홍,http://www.swmv.co.kr,경상남도
에스에프에이,056190,특수 목적용 기계 제조업,"반도체, Display 제조설비 및 공장자동화기기",2001-12-18,12월,김영민,http://www.sfa.co.kr,경기도
신화인터텍,056700,플라스틱제품 제조업,디스플레이 BLU용 광학필름,2001-12-13,12월,윤승철,http://www.shinwha.com,충청남도
엑사이엔씨,054940,실내건축 및 건축마무리 공사업,고주파고압변성기(FBT : Flyback Transformer),2001-12-13,12월,구자극,http://www.exaenc.com,서울특별시
평화정공,043370,자동차 부품 제조업,"자동차용 도어랫치, 도어힌지",2001-12-13,12월,"김상태, 이재승(각자대표이사)",http://www.phauto.co.kr,대구광역시
AP시스템,054620,특수 목적용 기계 제조업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsystems.co.kr,경기도
코위버,056360,통신 및 방송 장비 제조업,"가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등",2001-12-04,12월,황인환,http://www.coweaver.co.kr,서울특별시
성호전자,043260,전자부품 제조업,필름 콘덴서,2001-11-29,12월,박현남,http://www.sungho.net,서울특별시
리젠,038340,연료 소매업,"유류도소매,캐패시터,마스크팩",2001-11-22,12월,김봉선,http://www.regengroup.co.kr,서울특별시
레이젠,047440,전자부품 제조업,"BLU, LGP",2001-11-20,12월,정준기,http://www.raygen.co.kr,경상북도
YW,051390,통신 및 방송 장비 제조업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비",2001-11-15,12월,우병일,http://www.ywtc.com,경기도
삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품",2001-11-15,12월,강문식,http://www.symtek.co.kr,경상남도
이니텍,053350,소프트웨어 개발 및 공급업,정보보안 및 인증솔루션,2001-11-15,12월,장홍식,http://www.initech.com,서울특별시
에이디칩스,054630,기계장비 및 관련 물품 도매업,비메모리 반도체칩,2001-11-13,12월,김미선,http://www.adc.co.kr,경기도
유진로봇,056080,특수 목적용 기계 제조업,"청소로봇, 완구류외",2001-11-13,12월,신 경 철,http://www.yujinrobot.com,서울특별시
태웅,044490,기타 금속가공제품 제조업,자유형단조품,2001-11-08,12월,최승식,http://www.taewoong.com,부산광역시
경남제약,053950,의약품 제조업,PCB 드릴가공,2001-11-06,12월,류충효,http://www.kyungnampharm.co.kr,경상남도
삼보모터스,053700,자동차 부품 제조업,증명서 자동발급기,2001-11-06,12월,이재하,http://www.sambomotos.co.kr,대구광역시
포스코켐텍,003670,"시멘트, 석회, 플라스터 및 그 제품 제조업","염기성내화물, 협력작업수입",2001-11-01,12월,이영훈,http://www.posrec.co.kr,경상북도
한컴시큐어,054920,소프트웨어 개발 및 공급업,전자상거래 보안 솔루션,2001-11-01,12월,"이상헌, 김상철 (각자 대표이사)",http://www.hsecure.co.kr,경기도
코미팜,041960,의약품 제조업,동물약품,2001-10-30,12월,"양용진, 문성철(각자 대표이사)",http://www.komipharm.com,경기도
프리엠스,053160,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건설기계용 전장, 네트워크 상품",2001-10-30,12월,박흥식,http://www.freems.com,경기도
썬코어,051170,일반 목적용 기계 제조업,"오일레스베어링, 금형부품",2001-10-23,12월,최규선,http://www.luboinc.com,경기도
코나아이,052400,소프트웨어 개발 및 공급업,"전자화폐, 단말기, 수집/정산시스템",2001-10-18,12월,조정일,http://www.konai.co.kr,서울특별시
중앙오션,054180,선박 및 보트 건조업,XML/SGML 관련 제품 및 솔루션,2001-10-16,06월,전병철,http://www.megabion.co.kr,서울특별시
SGA,049470,소프트웨어 개발 및 공급업,"산업용컴퓨터 제조, 판매",2001-10-11,12월,은유진,http://www.sgacorp.kr,서울특별시
지에스이,053050,가스 제조 및 배관공급업,eBusiness 통합,2001-10-11,12월,유석형,http://www.yesgse.com,경상남도
팜스웰바이오,043090,기타 전문 도매업,"바이오리엑터(Bioreactor, 생물반응기)",2001-10-11,12월,"추연우, 장영진",http://www.pharmswell.com,서울특별시
소리바다,053110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",수도용 및 원예용 상토,2001-10-09,12월,"손지현, 김재학(공동대표이사)",http://www.soribada.com/corp,서울특별시
아이디스홀딩스,054800,"회사본부, 지주회사 및 경영컨설팅 서비스업",비금융지주회사,2001-09-27,12월,김영달,http://www.idisholdings.co.kr,대전광역시
코데즈컴바인,047770,봉제의복 제조업,패션의류,2001-09-18,12월,김보선,http://www.codes-combine.co.kr,서울특별시
안랩,053800,소프트웨어 개발 및 공급업,바이러스백신 프로그램,2001-09-13,12월,권치중,http://www.ahnlab.com,경기도
YTN,040300,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고/협찬 및 프로그램 제작,2001-09-04,12월,조준희,http://www.ytn.co.kr,서울특별시
CMG제약,058820,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.skynewpharm.com,서울특별시
JYP Ent.,035900,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시
한국테크놀로지,053590,특수 목적용 기계 제조업,신재생에너지관련장비,2001-08-23,12월,"김용빈,김태균(각자 대표이사)",http://www.myht.co.kr,서울특별시
KCC건설,021320,건물 건설업,"토목 건축공사, 분양공사",2001-08-21,12월,"정몽열,윤희영",http://www.kccworld.net,서울특별시
세동,053060,자동차 부품 제조업,"도어벨트, 몰딩",2001-08-17,12월,윤정상,http://www.sd2000.co.kr,부산광역시
프로텍,053610,특수 목적용 기계 제조업,"Dispenser, Tray Feeder, 공압실린더",2001-08-17,12월,최승환,http://www.protec21.co.kr,경기도
액토즈소프트,052790,소프트웨어 개발 및 공급업,온라인 게임 및 모바일 게임,2001-08-14,12월,장잉펑(Zhang YingFeng),http://www.actoz.com,서울특별시
세코닉스,053450,"안경, 사진장비 및 기타 광학기기 제조업","CCD렌즈, 광PICK-UP렌즈",2001-08-09,12월,"박은경, 권혁대 (각자대표)",http://www.sekonix.com,경기도
바이넥스,053030,의약품 제조업,"정장제, 소화제",2001-08-07,12월,이혁종,http://www.bi-nex.co.kr,부산광역시
오성엘에스티,052420,플라스틱제품 제조업,"LCD Aging System, LCD 신뢰성 분석장비",2001-08-07,12월,조경숙,http://www.osunglst.com,충청남도
태양,053620,기타 금속가공제품 제조업,"휴대용 부탄가스, 외주수탁품",2001-08-07,12월,현창수,http://www.taeyangsun.co.kr,충청남도
W홀딩컴퍼니,052300,기타 운송관련 서비스업,운송,2001-08-02,12월,"오민수, 윤기태 (각자대표이사)",http://www.shwa.co.kr,서울특별시
에임하이,043580,상품 종합 도매업,트랜지스터,2001-08-02,12월,왕설,http://www.ahg.co.kr,서울특별시
